job_title,location,company,reviews,ratings,date,sponsoredby,summary,job_link
Data Scientist,"Bengaluru, Karnataka",Micro Focus,221,3.7,,,"Identifies data sources, collects, transforms, and prepares large amounts of data for analysis.
Monitors and continuously improves the data sources, usability,…",https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0BduEgvIgdT7EDM_O2GxHkw7QoaouEWjxefAvaX3ZwZ9tYBt705y4bauJTLzCjE0X5oATM7HJjGh1xFOWpBmJH47jLXZ3omA0IIFZJ0wG4JiIAKpaxs1ZL356Uf1_hV6-qN3qj2rwZsUZSb-YTngiqhZhD9vgU6DT92Tk2mfW1cpK95Bx4bRSU9AbXUbJIl6IjA6doNC3oTsnBCmrHsWXXPuR-Pkf62bOu2qVUTV9i0YW-HqJmVJOyx2s_utS8IyDsEgeGyFaycHWHTiFT4E_ffMXSTAeNdTt0eR2MS3FbLhe3T49tdzaRHgdm6YX0daxs8TPuH6PwK4-8BGMjQAsLRvVPpwYuWHQPXeJqSVLaOL34R5daLLa4aatrNXjBmL_5Uqgg0KZk4vP9JTyoDBf1K&p=0&fvj=0&vjs=3
Data Scientist,"Bengaluru, Karnataka",Applied Materials Inc.,790,4.0,,,"Working experience in end to end data science project life cycles from use case framing, data collection, data exploration, model building, deployment.",https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0BKwMOZH4fgpIIWSrlpgS0tSkW3tfilVH9rzQFVfnBGL7OmaVYmNa78d3GOkpj_g9DU_3E83WXCJwggnBKg-BuXZl4CLsfdG03apqUyIXzX_r5mXM2WUjmdHm8eqLwRBORucacExa2QQR-eND6037RlBf3z2-LrHBeEYsaIss51lPyQBkGVuV0tMzUAcaQ4o0GIbtGeB7kZlBzheq4oDn1G5kyh7LBza4Eo9Kw3PDGVNvfrO3S457nimjwCSIP_HhkRthVgh2BKsolQg6nN5kI_1KSuZAPLbiV6pYon86AgAJZxsXMg2d-kn9bKlwD3ta0Z34Ec7Ap5MTUeoeP2n6g_21VNunx23UWeextBMrm4BUfJUSlr6w_SMyDKeul9eh-h2dxxCDaw_ELisoRZLH8o6egVX3_CkEatkQSuVWfcahLX73ed12RMdOGN7b9yIEE=&p=1&fvj=0&vjs=3
Data Scientist: Advanced Analytics,"Bengaluru, Karnataka",IBM,27379,3.9,3 days ago,,"As a SAS Developer (Data Scientist) at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating…",https://www.indeed.co.in/rc/clk?jk=2512c29e14ad66ef&fccid=de71a49b535e21cb&vjs=3
Data Scientist,"Bengaluru, Karnataka",JPMorgan Chase,21608,3.9,2 days ago,,"The Data Scientist in Bangalore will be part of a globally distributed team, with data science and engineering partners in New York and EMEA.",https://www.indeed.co.in/rc/clk?jk=e09e3f5a5333f7f2&fccid=c46d0116f6e69eae&vjs=3
Data Scientist - Transportation Analytics,"Bengaluru, Karnataka",Caterpillar,6101,3.9,2 days ago,,"Although the requirements above describe most of the responsibilities of the Data Scientist I, due to the breadth of issues that arise on projects, it is…",https://www.indeed.co.in/rc/clk?jk=6a631c2e08bab89e&fccid=d723225da214c842&vjs=3
Data Scientist,"Bengaluru, Karnataka",360 Technology,0,0.0,3 days ago,,"6 or more Years in predictive modeling, large data analysis and computer science.
Master's degree in Computer Science, Applied Mathematics, Quantitative…",https://www.indeed.co.in/company/360-Technology/jobs/Data-Scientist-9b93ea8e53c39c4a?fccid=9cedd7303597a3b5&vjs=3
Data Scientist,"Bengaluru, Karnataka",AppBrowzer,0,0.0,7 days ago,,"You have the necessary data pre-processing and engineering skills to roll out the models and classifiers.
As part of our Data Science team, you will solve some…",https://www.indeed.co.in/rc/clk?jk=a4b78e13529b301f&fccid=e007dc4df6806719&vjs=3
Data Analyst,"Bengaluru, Karnataka",NATIONAL CENTRE FOR EXCELLENCE,0,0.0,3 days ago,,"Will handle the data mining department.
Day today data feed to system.",https://www.indeed.co.in/company/Vijaykiran-Group-of-Institutions/jobs/Data-Analyst-45d2fdc587d94e4d?fccid=dc588ae0e9cfbc5b&vjs=3
Data/NLP Scientist,"Bengaluru, Karnataka",AnswerIQ,0,0.0,7 months ago,,"AnswerIQ is looking for Data Scientists to join our data science team.
Data science experience in industry is preferred.",https://www.indeed.co.in/rc/clk?jk=7aab915bcc6246b7&fccid=d50269abbd7da0ce&vjs=3
Data Scientist,"Bengaluru, Karnataka",Verisk Financial,142,3.7,30+ days ago,,"The Data Scientist develops and communicates descriptive, diagnostic, predictive and prescriptive insights/algorithms.
Strong skills in R or Python;",https://www.indeed.co.in/rc/clk?jk=6f9e131c6be82a09&fccid=d621f9a5603cfedd&vjs=3
Integrated Demand Model Data Scientist,"Bengaluru, Karnataka",Dell,9793,4.0,2 days ago,,"Experience in storytelling with data.
Experience in building model using statistic techniques such as Time Series, Statistical Modeling, Predictive Analytics,…",https://www.indeed.co.in/rc/clk?jk=f8495d919cd726b5&fccid=dd09fe3b43125016&vjs=3
Data Scientist,"Bengaluru, Karnataka",Siemens AG,9445,4.0,19 days ago,,"Data Analytics, data preprocessing, data visualization, data synthesis, simulation.
Acquire data from primary or secondary data sources and maintain databases…",https://www.indeed.co.in/rc/clk?jk=116d1eb42a113ce8&fccid=3b89b9ec324f96c8&vjs=3
Data Scientist,"Bengaluru, Karnataka",Applied Materials Inc.,790,4.0,,,"Working experience in end to end data science project life cycles from use case framing, data collection, data exploration, model building, deployment.",https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0BKwMOZH4fgpIIWSrlpgS0tSkW3tfilVH9rzQFVfnBGL7OmaVYmNa78d3GOkpj_g9DU_3E83WXCJwggnBKg-BuXZl4CLsfdG03apqUyIXzX_r5mXM2WUjmdHm8eqLwRBORucacExa2QQVy9gmSVhqoKn4WkD7TfvQ_i8JQC8RMil249ruXkFgLr2CCNrg6r_VFSqa1jsDV4kCfsCMB67Xn7ln1JPXe9S0d6pXprTLBW6SazJsfdvKTn9ywZtfvcXOiIGQtRzGWUIWEOwQv6C--MglWZrdF9Qq2EKpFkrMM5CxvHZW2oKM0IOqhgnWrppGKnvMOfO0aLz8d05Vn5nmvO4ZWy1_yZWFojdbX3INrqQnFZ8ANS2RikyaVUIhupCLvmp6qq0S6utMoCYX0iH1eA87yScaZWu93RBgzfVjfc2_ED9Hq1aNd7tUWvAOYjEb0=&p=0&fvj=0&vjs=3
Data Scientist,"Bengaluru, Karnataka",JDA Software,194,3.9,30+ days ago,,"» Work with complex data analysis, data preparation and developing prognostic.
Large data sets and algorithms.
Your day-to-day work will entail.",https://www.indeed.co.in/rc/clk?jk=3210196c5137a1f2&fccid=40c8856ae4b51dd3&vjs=3
Data Scientist,"Bengaluru, Karnataka",Ganit,0,0.0,4 months ago,,"Create and implement data models.
Can handle data extraction, preparation and transformation.
1+ years of Analytics experience.",https://www.indeed.co.in/rc/clk?jk=b48be5a31c940b18&fccid=a84170b5a8a8d5cc&vjs=3
