job_title,location,company,reviews,ratings,date,sponsoredby,summary,job_link
Item Data Analyst,"Bengaluru, Karnataka",TARGET,0,0.0,,Target Corporation,"As the Item Data Analyst, you’ll take the lead for:
 Partner with Item Data Manager on Product Data Planning initiatives and team leadership.",https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0Bw1nCGA-im3c4lgntbkPrUhn0MUCqHQfBGSPMwLfRyc8VeRz8gXrErNgOTBvndwLFikvoGQORn1G4SifKbf9-yQnRKXcmJfKhxHdFBlyWxBdkguoq5rVos_-Il8Fxc5u_4Nr9oR6zxVPPE8A8lQkPs_MBGOexQkxt0craH5l49amVLTt08iaAeMRXBAh5zQW-UYltJyZlt7Dw8VtNOQbhD6jZSNC22ns94RkIMpI_lN-iGoqYKJV1tAjOuY05wXGmMbKDiUVMQhmTTuBXeoPHRHtNgLpWp7sooE8HKGAgQFMwy5m-oYqjrYOv4vpqCk-Oaj-Me1vl7cprd5OIdGHibGKtPlxGvWJQRqG2bB_Uu34aP3FFOBgnyijuzeZiPV8o6eRJRJ5MTyCcV6Trc4JJHFRvVQlL5EbSnSAfOZIsNF8SaaX0JOUbPWt6l3E69Lxk5pOhdq-3kpR_0mKO2p6zHIurskGXyQW-DlVP_hB0ajFGve6tmzRv-PYuDKRoQjkeXp6cG--U-tvp924VRbTPoKLwoZ9ON4u7tWHD9jqzCRzWslYnL8viaB3OZj7m0bQ2rn4kJhL5KY0mf7Sn3uea9iMIlWOEEKnBrMWtJsx79WEvRSIH1E6sJi-CMqCAT0K5DYbvb0Ewf4HfXVORya6XXNQDB5TBNdHwWO4AWnC-L88Qz6dLVSpz-JSYJ2e_cviKUi6MTupSbniI5gjvR3coQa4nZ7MrjyFzw8h7Mirr8856Gl2Ez09pEEi4Ecv3A3zprgpq-A8WAlFDbHJPo1R9m_5u7qIbhSA60BQCRtUWoGNHava1Vo26gg3EcW9LLyyqXI4PW3RAb41amBEWVeehIiMKs-IsYyF8U6hWGpEN1kzbYbBAyPCd52sm6StqVEjZJwybtYRfAECbJZYZD6h8tcbmNHTReAkysdEM9ckUt72aJ4EResrCv14hOJPj3qCk7LqZk4lPv0iOqIS04Dpoh&p=0&fvj=0&vjs=3
Data Analyst,"Bengaluru, Karnataka",TARGET,0,0.0,,Target Corporation,"Gathers required data and performs data analysis to support business need.
Interprets results using a variety of techniques, ranging from simple data…",https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0Bw1nCGA-im3c4lgntbkPrUhn0MUCqHQfBGSPMwLfRyc1nBp8EI3dBSOsTUA7gh_lYYyrDRV1bh8SpQC0Vqcd-Z-kmnMtXW0VYLfocEgxgsOm41tYhy30TNoyg6NY1l9Bt423uQyZgM6o8QgD4oaF03T5hjmT4pK41mMVie7mybvehzwgTFyGLDVDbHMSEoUW1h-mDUVK6LPAqoxAdtZQxk0H0LP1qbSiab7-1OfZl8xZNd3TwJofyvhWBroAyViK5hS_W8g6uPUCCQnzJVTcVkQLKF0K_dYcYanwH2EZHMC0RjSo08wnOrs7c5ndc5eelwj4yP-eMYcdBHLwbz__kEMCFmX_EHXC0kUCfvuBN9op2NZZT18vBqgvX-0q1lZJNtoUhUk24AjZ5oJwoUm_vDYshu1n4PHqeUkAsKkEvQNSkCKJJ4RhG9IP056RkggbREUMUxcPT6IvLuVmBb-BlQF26ilQ3NKEHJo_6eqCFgzlH3EfFnpy4_3mfRHIy1nlW26y_ysqjKt7VCo4gFzZgq5ykv3anPJabIiPWNyR2oX-TBqxANh0XyuNoaTIJo0x20nUYx7iyARuL17ecJutu5dm8z_0KbCjsJ7HCG8uN34gNsoAGD5RaUGPR32JqtnxyXwCydHd4UR-wBDL0By3Wub9xfNiTi-gHIJiWOTGlgUrQCpCbGaruMNSm_OYYMjAk0mCoj_oLAaTSu1oKVeoO_H3T8GeLV8hCt7RJAejssJqMvawtAGZgjKJZmS8O4LRdiX32m0DsFUnODKSxqgCaLG_JmElTpqBAKAsHO4uCREXcWY2xY7gDp1ZRKbzsTogytNBJH8uM0FXFaZraTc2sCKJXBhkNYzhYfy2yk2eYRVYh_xFRl3MulOyN-W8oqeQeonjimM_LSj4PWjf5UwPesCHrrxXz8ZifY0m3Pd12J6j-cLjP3ro2hd2ciF4crrxFMQz4d5kjADA==&p=1&fvj=0&vjs=3
Pricing Analyst,"Bengaluru, Karnataka",TARGET,0,0.0,,Target Corporation,"LOS, productivity, data accuracy) for the team.
S • Data analysis & reporting skills • Ability to develop effective partnerships.
And basic knowledge in Domo.",https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0Bw1nCGA-im3c4lgntbkPrUhn0MUCqHQfBGSPMwLfRyc8VeRz8gXrErNgOTBvndwLHPasP46gKV86o0Y-L--CmYM4ZZUuEE_MOL3iZFDIlTfMs2H9BYSH8s3w2asAE0XdUl8alEC-sxWtqTplBUqlRU3WoZAZzjczjQWKNcoUmhm9L0y0dflAEtUpCZW5E2Ji6XmgcuZo8cuoOAi7nqrc56UwSbCsb2ZcxKYItHFisT_hA39ji1QXBxAqxzRd6dhVp44j_UYX6EjY6MwM88l5V_m6bTNPjR4uauHWcafMC2G8AvHYSRKNUoFbnG_83fT6LS6BlyBBONwM9PoXksv28XySNhxpS1xLYmuY9AYUUUyVxwFX0C5csyhCFDUJjoBAoo1DS4OXG5xXyoarZGmMCUVHA6pKYKYl0BZe9EJvJuNE_zFQcIBkKg_Bc02gQ_meBmtM2dV9IzrRgpzCfR1-HXRWZ79OCaBldsF2v6IIksgp5-H-IrYp_iYt1mN-SjYUyCmH7eZqXcrRWfA4Ixt1GA3Es1gmM0WtCVeeS9R_TOzPivg37tke4Pg78vS6d4hVF5pelMBPymzKb23aaxAtkNhAkzz6Bn8Z9d9-1qvFK6LxCt5ZNpPlu3VnJ2bgBvuShpp_tX_vx-_Itl5nT8S_1KHnBUEtt4vbL_n0pVRGfqwAUedrJjGvOWCNCGQuxmxGKV9Ivn_roizvTikrne4U5hwPJxzr7a7js6562UEfbvVjrfGeWWEfQ6zi516XzV3vdbjniiga6vLtKxESJZfC5s4yKIqG7PaZ5_CkvjBzo0NaXr57cOfSEqY0vjxw_RUczQ9Zw-8o7OZ_f9QJvU3C1OnqlrXBuQJ8S4h_ng5COPfT-N12Z1c33nwg6CNH5scImvKUgqVt3yKAYvIJXfjXuBtSOthYC0tlJWEdTzmh5UxyRHuyrDrQ6k_IGa7hGNfY7CSKVIp7G5ITwle2N3IUpb&p=2&fvj=0&vjs=3
Data Science modelers,"Bengaluru, Karnataka",Infosys Limited,0,0.0,,,"Basic understanding of data warehouse architecture,.
Formulate mathematical approaches and gather data to solve those problems, develop, analyze/draw…",https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0DFi1nmQQWK2fa3N4W3y7EUOEocZkWPqKP_f_xZ7ne8RUTCgxjAcFcNO0xqLvH83igDNUdRRYjkm2p9EhS1m8UDuSeLeS6cnsbM9DvNGwcIOCla884firx-5kqDxFoEwfdLeBeO2FpvehXqqAvY4zeetDWAmunjWlQvsNtDZCWsdxWurL2UgQUJNCYq3SwNx7hUrz8pTKTBa4s65svrZ1rTFoZMKZrYzMNfUxybvBwmOlTdSbiu_LVJqf9NLiidQbNnE0ySbjjcJJ6iA4qk7w9d1T92vhn83bwjCPth9KzmVE7Gcu1yXCj3i1c56FMIk_zi6PbqXMHUfM5ODlGEsKhQ-UW4Ciw3FuLkrSzpLCdp8JyoFQOiriCdGt5vctwdctmF78cuTefocHr51pGHstcB4VH7MN4G8_ZWqfX6Nls1tRXHm8lFpPhB-UVahkf7wVNNsAv4wtadU3BpaCfuvHduGIJvDacxut68zYdr0UBzd3DVR3tyz8HvnyzdAJ8uSbrG75LA02gmF1BmzpNiuG3Go8PhcAWu8cpFITace5B0AAiYfeqjp-1azh7Ln9aO1KkYhpBxo6rozq9Mk_lu6g22qdVX0yMfv7rF9UuLFW2tlfnaq_qJqnJjbO-PePSUZrM=&p=3&fvj=1&vjs=3
Data Analyst,"Bengaluru, Karnataka",LifeSight,0,0.0,1 day ago,,"Work closely with the product, engineering and data science teams to understand our data assets.
Research alternative data sources and evaluate if they can be…",https://www.indeed.co.in/rc/clk?jk=bf6199268c4d5882&fccid=d446b6a91e957786&vjs=3
Data Analyst,"Bengaluru, Karnataka",NATIONAL CENTRE FOR EXCELLENCE,0,0.0,4 days ago,,"Will handle the data mining department.
Day today data feed to system.",https://www.indeed.co.in/company/Vijaykiran-Group-of-Institutions/jobs/Data-Analyst-45d2fdc587d94e4d?fccid=dc588ae0e9cfbc5b&vjs=3
Data Analyst,"Bengaluru, Karnataka",Fusionova Technologies Pte Ltd,0,0.0,13 days ago,,"Good knowledge of Statistics and a data driven approach.
We are helping our customers get better insights about their business through data analytics.",https://www.indeed.co.in/company/Fusionova-Technologies-Pte-Ltd/jobs/Data-Analyst-063dabe13a67d8d8?fccid=3e0fa237856652e7&vjs=3
Associate Data Processing Analyst,"Bengaluru, Karnataka",Amber Road India,0,0.0,3 days ago,,"Basics of SQL, Complex data analysis.
0 to 2 years’ experience required in Data processing.
Regular work hours 9.30 AM to 6.30 PM IST (maybe required to work…",https://www.indeed.co.in/rc/clk?jk=42cce965acb4086f&fccid=a4db0d15f5ac2482&vjs=3
ITSO - Data Analyst,"Bengaluru, Karnataka",Shell,0,0.0,2 days ago,,"The role is accountable and responsible to ensure Gather and analyze the consumer service data, Process and analyze Asset and inventory data, Keep the consumer…",https://www.indeed.co.in/rc/clk?jk=f421fc255156c168&fccid=167aa4ca2fe7d8e6&vjs=3
Data Analyst,"Bengaluru, Karnataka",Insnap Technologies,0,0.0,3 days ago,,"We are looking for a passionate certified Data Analyst.
Should have minimum 1+ years of experience as Data Analyst.
Data processing & sample file processing.",https://www.indeed.co.in/rc/clk?jk=b508e2e50204e36c&fccid=d9350ce4cc7e4b1e&vjs=3
