,title,company,cpage,ratings,location,days_ago,summary
1,Deloitte Access Economics - Junior Data Scientist,Deloitte,https://au.indeed.com/cmp/Deloitte,4.0,Sydney NSW,30,The data will be both temporal and spatial. Advancing your skills in data analytics and modelling in an eminent economic and demographic forecasting team.
2,Data Scientist,Australian Government Department of Human Services,https://au.indeed.com/cmp/Australian-Government-Department-of-Human-Services,3.9,Canberra ACT,10,They lead the implementation of data science activities and solutions for model development processes. Data Scientists lead analytical teams in implementation…
3,Junior Data Analyst/Scientist,International Institute of Data & Analytics,https://au.indeed.comn/a,0.0,Sydney NSW,10,"In data science and big data analytics, the IDA creates enablers for: Leading the field of data science and analytics innovation, training and services by…"
4,IBM Research Scientist Data Scientist – Melbourne,IBM,https://au.indeed.com/cmp/IBM,3.9,Melbourne VIC,30,"Experience working with big data sets, especially in secure environments. Working in a team on client and internal data science projects, often in health,…"
5,Data Scientist,Cash Converters,https://au.indeed.com/cmp/Cash-Converters,3.5,Taringa QLD,1,Collaborates with data/software engineers to identify and understand relevant datasets. Validates key assumptions and decisions from available data or judgement…
6,Data Scientist,Tyro,https://au.indeed.comn/a,0.0,Sydney NSW,11,Assess the effectiveness and accuracy of new data sources and data gathering techniques. And support data driven decision making across Tyro.
7,Data Scientist,UniSuper,https://au.indeed.com/cmp/Unisuper,3.9,Victoria,1,"Strong TSQL skills for data discovery, data pattern recognition and data engineering. We are looking for someone with a real passion for data and continuous…"
8,Data Scientist,Equifax,https://au.indeed.com/cmp/Equifax,3.6,Melbourne VIC,30,Collaborate & learn from some of the best data minds in Australia who are passionate about all things data and analytics. What's in it for you?
9,Data Scientist & Engineer - Insurance,Suncorp Group,https://au.indeed.com/cmp/Suncorp-Group,3.8,Sydney Inner Suburbs NSW,14,Build reliable data infrastructure and develop tools to manage various data sources in an efficient manner and provide data support for the team.
10,Data Scientist,Woolworths Supermarkets,https://au.indeed.com/cmp/Woolworths-Supermarket,3.8,Bella Vista NSW,14,Leverage technology to enhance existing reporting to deliver insightful and reliable data to key stakeholders. A minimum of 3 years of relevant experience.
11,Data Scientist,EDG - Group Support Functions,https://au.indeed.comn/a,0.0,Sydney NSW,3,"Key to your success in this role is your proven experience in data science, data analytics and data exploration, a real advocate and champion across all data…"
